"Site","Species richness","Species diversity","Total count"
"Awana",13,1.95939344286125,72
"Cooper's Castle",7,1.53994608277097,106
"Glenfern",14,2.15520448599647,118
"Haratoanga",9,1.86643997173,140
"Kaitoke",18,2.54637628670343,141
"Medlands",23,2.88992228880481,165
"Motairehe",11,1.87521681489408,98
"Moto Kaikoura",20,2.56751660062382,235
"Mt Young",11,2.04033891963013,187
"Needle Rock",10,1.99320921568978,116
"Okiwi",17,2.47115351631909,155
"Okupu",19,2.40817226590101,151
"Rangitawhiri Tryphena",14,2.20972872930641,141
"Te Paparahi",8,1.79957333033756,115
"Windy Hill",10,1.78499585486406,185
"Wreck Bay",12,1.979929165025,117
"Total",NA,NA,2242
